target_active_sessions,repetition,deadline_ms,grouping,threshold_k,horizon_s,mean_active_sessions,event_count,fixed_window_eligible_share,exact_optimal_share,local_upper_share,exact_accelerated_event_count,exact_batch_count,alignment_gap_closure,solver_elapsed_s,algorithm
1000,2,10,route_key,64,60.0,1062.5437636520214,6879,0.0,0.0,0.0,0,0,,0.012971111107617617,unit_interval_monotone_dp
1000,2,10,route_key,128,60.0,1062.5437636520214,6879,0.0,0.0,0.0,0,0,,0.013091305270791054,unit_interval_monotone_dp
1000,2,10,route_key,256,60.0,1062.5437636520214,6879,0.0,0.0,0.0,0,0,,0.01274579530581832,unit_interval_monotone_dp
1000,2,25,event_class,32,60.0,1062.5437636520214,6879,0.0,0.0,0.0,0,0,,0.013382624834775925,unit_interval_monotone_dp
1000,2,25,event_class,64,60.0,1062.5437636520214,6879,0.0,0.0,0.0,0,0,,0.01331139076501131,unit_interval_monotone_dp
1000,2,25,event_class,128,60.0,1062.5437636520214,6879,0.0,0.0,0.0,0,0,,0.013277071993798018,unit_interval_monotone_dp
1000,2,25,event_class,256,60.0,1062.5437636520214,6879,0.0,0.0,0.0,0,0,,0.013194235973060131,unit_interval_monotone_dp
1000,2,25,pooled,32,60.0,1062.5437636520214,6879,0.0,0.0,0.0,0,0,,0.013486484065651894,unit_interval_monotone_dp
1000,2,25,pooled,64,60.0,1062.5437636520214,6879,0.0,0.0,0.0,0,0,,0.014288743957877159,unit_interval_monotone_dp
1000,2,25,pooled,128,60.0,1062.5437636520214,6879,0.0,0.0,0.0,0,0,,0.013361698016524315,unit_interval_monotone_dp
1000,2,25,pooled,256,60.0,1062.5437636520214,6879,0.0,0.0,0.0,0,0,,0.013410814106464386,unit_interval_monotone_dp
1000,2,25,route_key,32,60.0,1062.5437636520214,6879,0.0,0.0,0.0,0,0,,0.013517495710402727,unit_interval_monotone_dp
1000,2,25,route_key,64,60.0,1062.5437636520214,6879,0.0,0.0,0.0,0,0,,0.013295667245984077,unit_interval_monotone_dp
1000,2,25,route_key,128,60.0,1062.5437636520214,6879,0.0,0.0,0.0,0,0,,0.013076637871563435,unit_interval_monotone_dp
1000,2,25,route_key,256,60.0,1062.5437636520214,6879,0.0,0.0,0.0,0,0,,0.01332171494141221,unit_interval_monotone_dp
1000,2,50,event_class,32,60.0,1062.5437636520214,6879,0.0,0.0,0.0,0,0,,0.013523310888558626,unit_interval_monotone_dp
1000,2,50,event_class,64,60.0,1062.5437636520214,6879,0.0,0.0,0.0,0,0,,0.013286374974995852,unit_interval_monotone_dp
1000,2,50,event_class,128,60.0,1062.5437636520214,6879,0.0,0.0,0.0,0,0,,0.013268155977129936,unit_interval_monotone_dp
1000,2,50,event_class,256,60.0,1062.5437636520214,6879,0.0,0.0,0.0,0,0,,0.013241255190223455,unit_interval_monotone_dp
1000,2,50,pooled,32,60.0,1062.5437636520214,6879,0.0,0.0,0.0,0,0,,0.01337778102606535,unit_interval_monotone_dp
1000,2,50,pooled,64,60.0,1062.5437636520214,6879,0.0,0.0,0.0,0,0,,0.01387505978345871,unit_interval_monotone_dp
1000,2,50,pooled,128,60.0,1062.5437636520214,6879,0.0,0.0,0.0,0,0,,0.013885238207876682,unit_interval_monotone_dp
1000,2,50,pooled,256,60.0,1062.5437636520214,6879,0.0,0.0,0.0,0,0,,0.014119727071374655,unit_interval_monotone_dp
1000,2,50,route_key,32,60.0,1062.5437636520214,6879,0.0,0.0,0.0,0,0,,0.013738295994699001,unit_interval_monotone_dp
1000,2,50,route_key,64,60.0,1062.5437636520214,6879,0.0,0.0,0.0,0,0,,0.013572398107498884,unit_interval_monotone_dp
1000,2,50,route_key,128,60.0,1062.5437636520214,6879,0.0,0.0,0.0,0,0,,0.013568832073360682,unit_interval_monotone_dp
1000,2,50,route_key,256,60.0,1062.5437636520214,6879,0.0,0.0,0.0,0,0,,0.013271672185510397,unit_interval_monotone_dp
1000,2,100,event_class,32,60.0,1062.5437636520214,6879,0.0,0.0,0.0,0,0,,0.01406775414943695,unit_interval_monotone_dp
1000,2,100,event_class,64,60.0,1062.5437636520214,6879,0.0,0.0,0.0,0,0,,0.014049424789845943,unit_interval_monotone_dp
1000,2,100,event_class,128,60.0,1062.5437636520214,6879,0.0,0.0,0.0,0,0,,0.013256010133773088,unit_interval_monotone_dp
1000,2,100,event_class,256,60.0,1062.5437636520214,6879,0.0,0.0,0.0,0,0,,0.013169896323233843,unit_interval_monotone_dp
1000,2,100,pooled,32,60.0,1062.5437636520214,6879,0.0,0.0,0.0,0,0,,0.013305770698934793,unit_interval_monotone_dp
1000,2,100,pooled,64,60.0,1062.5437636520214,6879,0.0,0.0,0.0,0,0,,0.013626644853502512,unit_interval_monotone_dp
1000,2,100,pooled,128,60.0,1062.5437636520214,6879,0.0,0.0,0.0,0,0,,0.014704231638461351,unit_interval_monotone_dp
1000,2,100,pooled,256,60.0,1062.5437636520214,6879,0.0,0.0,0.0,0,0,,0.014443458989262581,unit_interval_monotone_dp
1000,2,100,route_key,32,60.0,1062.5437636520214,6879,0.0,0.0,0.0,0,0,,0.013672146946191788,unit_interval_monotone_dp
1000,2,100,route_key,64,60.0,1062.5437636520214,6879,0.0,0.0,0.0,0,0,,0.013464241288602352,unit_interval_monotone_dp
1000,2,100,route_key,128,60.0,1062.5437636520214,6879,0.0,0.0,0.0,0,0,,0.013372116722166538,unit_interval_monotone_dp
1000,2,100,route_key,256,60.0,1062.5437636520214,6879,0.0,0.0,0.0,0,0,,0.013197592925280333,unit_interval_monotone_dp
1000,2,250,event_class,32,60.0,1062.5437636520214,6879,0.0,0.0,0.0,0,0,,0.013140390627086163,unit_interval_monotone_dp
1000,2,250,event_class,64,60.0,1062.5437636520214,6879,0.0,0.0,0.0,0,0,,0.013002603314816952,unit_interval_monotone_dp
1000,2,250,event_class,128,60.0,1062.5437636520214,6879,0.0,0.0,0.0,0,0,,0.013032498303800821,unit_interval_monotone_dp
1000,2,250,event_class,256,60.0,1062.5437636520214,6879,0.0,0.0,0.0,0,0,,0.012992971111088991,unit_interval_monotone_dp
1000,2,250,pooled,32,60.0,1062.5437636520214,6879,0.34321849105974706,0.6577990987062073,0.7355720308184329,4525,130,0.8017784364579474,0.014668131712824106,unit_interval_monotone_dp
1000,2,250,pooled,64,60.0,1062.5437636520214,6879,0.0,0.0,0.0,0,0,,0.013129269238561392,unit_interval_monotone_dp
1000,2,250,pooled,128,60.0,1062.5437636520214,6879,0.0,0.0,0.0,0,0,,0.013171625789254904,unit_interval_monotone_dp
1000,2,250,pooled,256,60.0,1062.5437636520214,6879,0.0,0.0,0.0,0,0,,0.013087938074022532,unit_interval_monotone_dp
1000,2,250,route_key,32,60.0,1062.5437636520214,6879,0.0,0.0,0.0,0,0,,0.013422294054180384,unit_interval_monotone_dp
