requested_gpu,agent_count,state_width,action_count,observation_horizon,placements,wall_ms_median_of_placement_medians,wall_ms_placement_min,wall_ms_placement_max,device_ms_median_of_placement_medians,wall_to_device_ratio_median,tuned_cpu_wall_ms_median_of_placements,speedup_median_of_placements,speedup_placement_min,speedup_placement_max,placements_speedup_gt_one,compile_ms_median_of_placements,ns_per_agent_step_median_of_placements,gpu_price_usd_per_second,cost_usd_per_billion_median,cost_usd_per_billion_placement_min,cost_usd_per_billion_placement_max,fraction_placements_speedup_gt_one
L4,16,8,1,1,3,7.8605955000000005,7.760696,7.9936585000000004,7.80404806137085,1.0067487568576945,8.4601085,1.0583525053015461,1.034223348008993,1.0793007349125139,3,1432.974208,7676.36279296875,0.000222,1.7041525400390625,1.682494640625,1.7330001826171875,1.0
L4,32,8,1,1,3,7.7490369999999995,7.497839,7.9641795,7.695919990539551,1.0070043116556318,8.522224,1.0866957799440613,1.0700693021798415,1.1400047515581615,3,1544.713703,3783.70947265625,0.000222,0.8399835029296875,0.8127540322265625,0.8633046137695313,1.0
L4,64,8,1,1,3,7.697405,7.5958380000000005,7.9255815,7.644207954406738,1.006808638710618,8.6929805,1.1229257390692111,1.1017172683165266,1.1293391084397926,3,1143.945849,1879.249267578125,0.000222,0.41719333740234377,0.4116884853515625,0.4295603254394531,1.0
L4,128,8,1,1,3,8.028969,7.6841715,8.1677885,7.971776008605957,1.0069904582667384,8.6426005,1.1171614935865364,1.0581322594237106,1.1228218943317443,3,1924.480838,980.0987548828125,0.000222,0.21758192358398437,0.20823804602050783,0.2213438778076172,1.0
L4,256,8,1,1,3,7.6530565,7.559446,7.9778579999999994,7.602352142333984,1.0066695618299062,8.903075999999999,1.1633359821660796,1.1477795794309702,1.1722722802702739,3,1716.15437,467.1054992675781,0.000222,0.10369742083740234,0.10242901684570313,0.10809841772460937,1.0
L40S,8,8,1,1,3,3.3456335,3.072687,5.8395315,3.308016061782837,1.0076497897487111,2.7856535,0.886433440764897,0.7130093598118263,0.9065855064313416,0,1013.485228,6534.4404296875,0.000542,3.5416667128906245,3.2527272539062495,6.181691548828124,0.0
L40S,16,8,1,1,3,3.318921,3.2449760000000003,5.934937,3.280128002166748,1.0118266719492734,2.765607,0.8332849742431351,0.7358031307473459,0.8810258643015082,0,997.618484,3241.1337890625,0.000542,1.7566945136718748,1.7175556562499998,3.1413436074218746,0.0
L40S,32,8,1,1,3,3.1962580000000003,3.025829,5.698961499999999,3.1505759954452515,1.0138274945068568,2.8787965,0.8977581266341246,0.8756577222489549,0.9514075316219126,0,996.827445,1560.6728515625,0.000542,0.8458846855468749,0.8007809169921875,1.508221256347656,0.0
L40S,64,8,1,1,3,3.0662304999999996,2.9254615,5.8663,3.0279840230941772,1.007767882442198,2.8782284999999996,0.8928041525322605,0.8386632331343277,0.9386862794561596,0,915.001809,748.5914306640625,0.000542,0.4057365554199218,0.3871094074707031,0.7762535644531249,0.0
L40S,128,8,1,1,3,3.2415209999999997,2.719138,5.7719135,3.19923198223114,1.0132184905639032,2.842003,0.8767498344141532,0.8706679336064201,0.9896557291318057,0,1135.567,395.6934814453125,0.000542,0.21446586694335937,0.17990390576171872,0.381881972290039,0.0
