target_active_sessions,repetition,deadline_ms,grouping,threshold_k,horizon_s,mean_active_sessions,event_count,fixed_window_eligible_share,local_upper_share,boundary_alignment_gap,fixed_cohort_p90,local_cohort_p90,local_cohort_max
10000,0,25,event_class,32,60.0,9997.073338683264,65544,0.0,0.0,0.0,20.0,23.0,31
10000,0,25,event_class,64,60.0,9997.073338683264,65544,0.0,0.0,0.0,20.0,23.0,31
10000,0,25,event_class,128,60.0,9997.073338683264,65544,0.0,0.0,0.0,20.0,23.0,31
10000,0,25,event_class,256,60.0,9997.073338683264,65544,0.0,0.0,0.0,20.0,23.0,31
10000,0,25,pooled,32,60.0,9997.073338683264,65544,0.2644025387525937,0.6672311729525204,0.40282863419992676,35.0,40.0,52
10000,0,25,pooled,64,60.0,9997.073338683264,65544,0.0,0.0,0.0,35.0,40.0,52
10000,0,25,pooled,128,60.0,9997.073338683264,65544,0.0,0.0,0.0,35.0,40.0,52
10000,0,25,pooled,256,60.0,9997.073338683264,65544,0.0,0.0,0.0,35.0,40.0,52
10000,0,25,route_key,32,60.0,9997.073338683264,65544,0.0,0.0,0.0,17.0,20.0,31
10000,0,25,route_key,64,60.0,9997.073338683264,65544,0.0,0.0,0.0,17.0,20.0,31
10000,0,25,route_key,128,60.0,9997.073338683264,65544,0.0,0.0,0.0,17.0,20.0,31
10000,0,25,route_key,256,60.0,9997.073338683264,65544,0.0,0.0,0.0,17.0,20.0,31
10000,0,50,event_class,32,60.0,9997.073338683264,65544,0.27384657634566095,0.6518064201147321,0.37795984376907116,35.0,40.0,50
10000,0,50,event_class,64,60.0,9997.073338683264,65544,0.0,0.0,0.0,35.0,40.0,50
10000,0,50,event_class,128,60.0,9997.073338683264,65544,0.0,0.0,0.0,35.0,40.0,50
10000,0,50,event_class,256,60.0,9997.073338683264,65544,0.0,0.0,0.0,35.0,40.0,50
10000,0,50,pooled,32,60.0,9997.073338683264,65544,1.0,1.0,0.0,66.0,72.0,84
10000,0,50,pooled,64,60.0,9997.073338683264,65544,0.14545953863053826,0.5003814231661174,0.35492188453557916,66.0,72.0,84
10000,0,50,pooled,128,60.0,9997.073338683264,65544,0.0,0.0,0.0,66.0,72.0,84
10000,0,50,pooled,256,60.0,9997.073338683264,65544,0.0,0.0,0.0,66.0,72.0,84
10000,0,50,route_key,32,60.0,9997.073338683264,65544,0.108903942389845,0.2809410472354449,0.1720371048455999,32.0,37.0,48
10000,0,50,route_key,64,60.0,9997.073338683264,65544,0.0,0.0,0.0,32.0,37.0,48
10000,0,50,route_key,128,60.0,9997.073338683264,65544,0.0,0.0,0.0,32.0,37.0,48
10000,0,50,route_key,256,60.0,9997.073338683264,65544,0.0,0.0,0.0,32.0,37.0,48
10000,0,100,event_class,32,60.0,9997.073338683264,65544,0.993058098376663,0.9943854509947516,0.0013273526180885842,65.0,73.0,85
10000,0,100,event_class,64,60.0,9997.073338683264,65544,0.14735139753448065,0.4738496277309899,0.32649823019650925,65.0,73.0,85
10000,0,100,event_class,128,60.0,9997.073338683264,65544,0.0,0.0,0.0,65.0,73.0,85
10000,0,100,event_class,256,60.0,9997.073338683264,65544,0.0,0.0,0.0,65.0,73.0,85
10000,0,100,pooled,32,60.0,9997.073338683264,65544,1.0,1.0,0.0,124.0,134.0,152
10000,0,100,pooled,64,60.0,9997.073338683264,65544,1.0,1.0,0.0,124.0,134.0,152
10000,0,100,pooled,128,60.0,9997.073338683264,65544,0.06279751006957159,0.2717716343219822,0.20897412425241063,124.0,134.0,152
10000,0,100,pooled,256,60.0,9997.073338683264,65544,0.0,0.0,0.0,124.0,134.0,152
10000,0,100,route_key,32,60.0,9997.073338683264,65544,0.48462101794214574,0.4976504332967167,0.013029415354570972,59.0,67.0,80
10000,0,100,route_key,64,60.0,9997.073338683264,65544,0.05332295862321494,0.17360856829000365,0.12028560966678871,59.0,67.0,80
10000,0,100,route_key,128,60.0,9997.073338683264,65544,0.0,0.0,0.0,59.0,67.0,80
10000,0,100,route_key,256,60.0,9997.073338683264,65544,0.0,0.0,0.0,59.0,67.0,80
10000,0,250,event_class,32,60.0,9997.073338683264,65544,0.9943854509947516,0.9943854509947516,0.0,153.0,165.0,183
10000,0,250,event_class,64,60.0,9997.073338683264,65544,0.9943854509947516,0.9943854509947516,0.0,153.0,165.0,183
10000,0,250,event_class,128,60.0,9997.073338683264,65544,0.7782253142926889,0.9793726351763701,0.20114732088368115,153.0,165.0,183
