target_active_sessions,deadline_ms,grouping,threshold_k,repetitions,fixed_window_eligible_share_mean,local_upper_share_mean,local_upper_share_min,local_upper_share_max,boundary_alignment_gap_mean,boundary_alignment_gap_max,event_count_mean,mean_active_sessions,fixed_cohort_p90,local_cohort_p90,local_cohort_max
10000,50,pooled,64,3,0.13628398303025513,0.4799701202059916,0.4082437444251444,0.531285193026713,0.3436861371757365,0.3707674519873268,65348.0,10031.18676986284,65.33333333333333,71.66666666666667,84
10000,50,pooled,128,3,0.0,0.0,0.0,0.0,0.0,0.0,65348.0,10031.18676986284,65.33333333333333,71.66666666666667,84
10000,50,pooled,256,3,0.0,0.0,0.0,0.0,0.0,0.0,65348.0,10031.18676986284,65.33333333333333,71.66666666666667,84
10000,50,route_key,32,3,0.09203562380434112,0.2659918132558617,0.2397696508771106,0.2809410472354449,0.17395618945152055,0.18326651350661444,65348.0,10031.18676986284,31.0,36.0,48
10000,50,route_key,64,3,0.0,0.0,0.0,0.0,0.0,0.0,65348.0,10031.18676986284,31.0,36.0,48
10000,50,route_key,128,3,0.0,0.0,0.0,0.0,0.0,0.0,65348.0,10031.18676986284,31.0,36.0,48
10000,50,route_key,256,3,0.0,0.0,0.0,0.0,0.0,0.0,65348.0,10031.18676986284,31.0,36.0,48
10000,100,event_class,32,3,0.9933151349847736,0.9943667718206811,0.9942256232101779,0.9944892412571137,0.0010516368359073658,0.0013770871477082336,65348.0,10031.18676986284,65.0,72.0,89
10000,100,event_class,64,3,0.14129433793152177,0.45425126805962385,0.38171916811417306,0.5071850083337087,0.3129569301281021,0.33985014339985287,65348.0,10031.18676986284,65.0,72.0,89
10000,100,event_class,128,3,0.0,0.0,0.0,0.0,0.0,0.0,65348.0,10031.18676986284,65.0,72.0,89
10000,100,event_class,256,3,0.0,0.0,0.0,0.0,0.0,0.0,65348.0,10031.18676986284,65.0,72.0,89
10000,100,pooled,32,3,1.0,1.0,1.0,1.0,0.0,0.0,65348.0,10031.18676986284,123.33333333333333,133.0,152
10000,100,pooled,64,3,1.0,1.0,1.0,1.0,0.0,0.0,65348.0,10031.18676986284,123.33333333333333,133.0,152
10000,100,pooled,128,3,0.04889455831265684,0.24868643381941546,0.166345867956121,0.30794179918014325,0.19979187550675867,0.24876495938255477,65348.0,10031.18676986284,123.33333333333333,133.0,152
10000,100,pooled,256,3,0.0,0.0,0.0,0.0,0.0,0.0,65348.0,10031.18676986284,123.33333333333333,133.0,152
10000,100,route_key,32,3,0.48187060742436566,0.4944546645698713,0.48958661801582654,0.4976504332967167,0.012584057145505626,0.013029415354570972,65348.0,10031.18676986284,58.666666666666664,66.0,81
10000,100,route_key,64,3,0.03905804453211459,0.1542480760116828,0.13495454047540803,0.17360856829000365,0.11519003147956823,0.12236286919831223,65348.0,10031.18676986284,58.666666666666664,66.0,81
10000,100,route_key,128,3,0.0,0.0,0.0,0.0,0.0,0.0,65348.0,10031.18676986284,58.666666666666664,66.0,81
10000,100,route_key,256,3,0.0,0.0,0.0,0.0,0.0,0.0,65348.0,10031.18676986284,58.666666666666664,66.0,81
10000,250,event_class,32,3,0.9943667718206811,0.9943667718206811,0.9942256232101779,0.9944892412571137,0.0,0.0,65348.0,10031.18676986284,152.33333333333334,164.0,196
10000,250,event_class,64,3,0.9943667718206811,0.9943667718206811,0.9942256232101779,0.9944892412571137,0.0,0.0,65348.0,10031.18676986284,152.33333333333334,164.0,196
10000,250,event_class,128,3,0.7614566541370493,0.9727992065441291,0.9574041907265699,0.9816207937294473,0.2113425524070797,0.26263242727258496,65348.0,10031.18676986284,152.33333333333334,164.0,196
10000,250,event_class,256,3,0.0,0.0,0.0,0.0,0.0,0.0,65348.0,10031.18676986284,152.33333333333334,164.0,196
10000,250,pooled,32,3,1.0,1.0,1.0,1.0,0.0,0.0,65348.0,10031.18676986284,293.6666666666667,308.3333333333333,338
10000,250,pooled,64,3,1.0,1.0,1.0,1.0,0.0,0.0,65348.0,10031.18676986284,293.6666666666667,308.3333333333333,338
10000,250,pooled,128,3,1.0,1.0,1.0,1.0,0.0,0.0,65348.0,10031.18676986284,293.6666666666667,308.3333333333333,338
10000,250,pooled,256,3,0.8552227885408185,0.9970629991001799,0.9929580770855828,0.9999549529258075,0.14184021055936138,0.22077210772577183,65348.0,10031.18676986284,293.6666666666667,308.3333333333333,338
10000,250,route_key,32,3,0.6622233351595285,0.6623657331415457,0.6574170007658002,0.6651104601489076,0.0001423979820171691,0.0004271939460515073,65348.0,10031.18676986284,140.33333333333334,151.66666666666666,175
10000,250,route_key,64,3,0.48934409338080403,0.5171697103423969,0.5041390858019186,0.5248840473575003,0.02782561696159284,0.03569229845188221,65348.0,10031.18676986284,140.33333333333334,151.66666666666666,175
10000,250,route_key,128,3,0.3138904121114939,0.45994603728546996,0.4513403126613774,0.46739594776028315,0.14605562517397605,0.16806722689075632,65348.0,10031.18676986284,140.33333333333334,151.66666666666666,175
10000,250,route_key,256,3,0.0,0.0,0.0,0.0,0.0,0.0,65348.0,10031.18676986284,140.33333333333334,151.66666666666666,175
