target_active_sessions,deadline_ms,grouping,threshold_k,repetitions,event_count_mean,fixed_window_eligible_share_mean,exact_optimal_share_mean,exact_optimal_share_min,exact_optimal_share_max,local_upper_share_mean,exact_batch_count_mean,alignment_gap_closure_mean,solver_elapsed_s_mean
10000,250,route_key,64,3,65348.0,0.48934409338080403,0.5095043580940213,0.5009154499788743,0.5155925790308801,0.5171697103423969,268.0,0.7383261342514941,0.14580325627078614
10000,250,route_key,128,3,65348.0,0.3138904121114939,0.435849813714069,0.41689748525108367,0.44644653663077916,0.45994603728546996,212.0,0.8375379459512785,0.13644101563841105
10000,250,route_key,256,3,65348.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.12464434560388327
100000,10,event_class,32,3,651123.3333333334,0.9937247814223041,0.9942183048177164,0.9941543024426226,0.9943393816863073,0.9942183048177164,11782.333333333334,1.0,1.7184484372846782
100000,10,event_class,64,3,651123.3333333334,0.1301369209640596,0.360607530942858,0.35693946076359806,0.3670978970623834,0.44231837085622017,3468.0,0.7382820667447697,1.3550744204161067
100000,10,event_class,128,3,651123.3333333334,0.0,0.0,0.0,0.0,0.0,0.0,,1.2953299945220351
100000,10,event_class,256,3,651123.3333333334,0.0,0.0,0.0,0.0,0.0,0.0,,1.301588281833877
100000,10,pooled,32,3,651123.3333333334,1.0,1.0,1.0,1.0,1.0,5945.333333333333,,1.7119380005945761
100000,10,pooled,64,3,651123.3333333334,1.0,1.0,1.0,1.0,1.0,5945.333333333333,,1.6922246548347175
100000,10,pooled,128,3,651123.3333333334,0.04316798885666833,0.18159017194369195,0.17392976771308866,0.19327537972686018,0.2287668527641189,890.3333333333334,0.7456583940487728,1.3402507707166176
100000,10,pooled,256,3,651123.3333333334,0.0,0.0,0.0,0.0,0.0,0.0,,1.3003847210978468
100000,10,route_key,32,3,651123.3333333334,0.48130201920689225,0.48996727916294636,0.4879809948471295,0.49149693736536815,0.4914143390685919,6085.666666666667,0.8563688371211117,1.4933708266665537
100000,10,route_key,64,3,651123.3333333334,0.03545958221152996,0.12402196662826814,0.12058547933697374,0.12723458858060502,0.1534496195826933,1199.0,0.7506571815540269,1.3200885145924985
100000,10,route_key,128,3,651123.3333333334,0.0,0.0,0.0,0.0,0.0,0.0,,1.2987716762969892
100000,10,route_key,256,3,651123.3333333334,0.0,0.0,0.0,0.0,0.0,0.0,,1.2992216008715332
100000,25,event_class,32,3,651123.3333333334,0.9942183048177164,0.9942183048177164,0.9941543024426226,0.9943393816863073,0.9942183048177164,4765.0,,1.680913757532835
100000,25,event_class,64,3,651123.3333333334,0.9942183048177164,0.9942183048177164,0.9941543024426226,0.9943393816863073,0.9942183048177164,4765.0,,1.6815841674494247
100000,25,event_class,128,3,651123.3333333334,0.7438539255983204,0.9397237464576397,0.9333788767696164,0.943636185357573,0.9671273812803453,4483.333333333333,0.87731946820015,1.577467023084561
100000,25,event_class,256,3,651123.3333333334,0.0,0.0,0.0,0.0,0.0,0.0,,1.3030480110707383
100000,25,pooled,32,3,651123.3333333334,1.0,1.0,1.0,1.0,1.0,2391.6666666666665,,1.7041219412349164
100000,25,pooled,64,3,651123.3333333334,1.0,1.0,1.0,1.0,1.0,2391.6666666666665,,1.6844136553506057
100000,25,pooled,128,3,651123.3333333334,1.0,1.0,1.0,1.0,1.0,2391.6666666666665,,1.7036373616817098
100000,25,pooled,256,3,651123.3333333334,0.8481190189917651,0.9872148667393298,0.982371920625176,0.9913713065300457,0.9932674511077808,2397.6666666666665,0.9587773468442821,1.6266964627429843
100000,25,route_key,32,3,651123.3333333334,0.6595621772424471,0.6600261320592228,0.6587073357243637,0.660994106664003,0.6600261320592228,4734.333333333333,1.0,1.554996117328604
100000,25,route_key,64,3,651123.3333333334,0.48500279426489595,0.5039956528454237,0.5020933055764553,0.5062677530159061,0.5093532933056797,2617.6666666666665,0.7803070738817984,1.4973414565126102
100000,25,route_key,128,3,651123.3333333334,0.29579022957408,0.42928638125790247,0.4224984575238218,0.43283210523484983,0.45520440328811307,2073.0,0.8375019410247404,1.3968260139226913
100000,25,route_key,256,3,651123.3333333334,0.0,0.0,0.0,0.0,0.0,0.0,,1.2997789185804625
100000,50,event_class,32,3,651123.3333333334,0.9942183048177164,0.9942183048177164,0.9941543024426226,0.9943393816863073,0.9942183048177164,2392.0,,1.69568264298141
100000,50,event_class,64,3,651123.3333333334,0.9942183048177164,0.9942183048177164,0.9941543024426226,0.9943393816863073,0.9942183048177164,2392.0,,1.684298930844913
100000,50,event_class,128,3,651123.3333333334,0.9942183048177164,0.9942183048177164,0.9941543024426226,0.9943393816863073,0.9942183048177164,2392.0,,1.688352748285979
100000,50,event_class,256,3,651123.3333333334,0.7836063747423943,0.9438170970117398,0.938577906202062,0.9471413094423997,0.9725412346475627,2255.3333333333335,0.8481873138960677,1.5820542437334855
100000,50,pooled,32,3,651123.3333333334,1.0,1.0,1.0,1.0,1.0,1198.0,,1.7085195508164663
100000,50,pooled,64,3,651123.3333333334,1.0,1.0,1.0,1.0,1.0,1198.0,,1.715852309949696
100000,50,pooled,128,3,651123.3333333334,1.0,1.0,1.0,1.0,1.0,1198.0,,1.703768470324576
100000,50,pooled,256,3,651123.3333333334,1.0,1.0,1.0,1.0,1.0,1198.0,,1.6873237953210871
