source_file,source_row,session_id,benchmark,harness,models,span_count,session_start,session_end,session_duration_s,tool_call_spans,tool_call_count,unique_tool_count,route_count,dominant_route_share,route_concentration,effective_route_count,route_entropy_bits,peak_recorded_span_concurrency,overlapping_span_starts,invalid_json_fields,nonpositive_duration_spans,failed_status_spans,total_input_tokens,total_output_tokens
0020.parquet,27,ab2f8ca80599_95ccf961,tau2_airline,claude_code,aws/claude-opus-4-5,19,2026-01-28T14:58:46.293538+00:00,2026-01-28T15:00:32.542219+00:00,106.248681,18,18,6,7,0.3684210526315789,0.25761772853185594,3.881720430107527,2.292071752457787,1,0,0,0,0,527664,3020
0020.parquet,28,ab2f8ca80599_a0a2ae57,tau2_airline,claude_code,aws/claude-opus-4-5,17,2026-01-28T14:58:33.671148+00:00,2026-01-28T15:00:34.524375+00:00,120.853227,16,16,7,8,0.35294117647058826,0.19031141868512114,5.254545454545454,2.7045348998193433,1,0,0,0,0,496200,4126
0020.parquet,29,ab2f8ca80599_a378da8b,tau2_airline,claude_code,aws/claude-opus-4-5,8,2026-01-28T14:58:18.981999+00:00,2026-01-28T14:59:05.019655+00:00,46.037656,8,8,3,3,0.75,0.59375,1.6842105263157894,1.061278124459133,1,0,0,0,0,201573,1320
0020.parquet,30,ab2f8ca80599_aebecaad,tau2_airline,claude_code,aws/claude-opus-4-5,11,2026-01-28T14:59:53.878471+00:00,2026-01-28T15:01:34.273212+00:00,100.394741,11,11,4,4,0.6363636363636364,0.45454545454545453,2.2,1.4911148500551856,1,0,0,0,0,282584,1992
0020.parquet,31,ab2f8ca80599_af890271,tau2_airline,claude_code,aws/claude-opus-4-5,10,2026-01-28T14:59:14.369866+00:00,2026-01-28T15:00:21.852441+00:00,67.482575,9,9,3,4,0.7,0.5199999999999999,1.9230769230769234,1.3567796494470397,1,0,0,0,0,255197,2051
0020.parquet,32,ab2f8ca80599_b9f1c612,tau2_airline,claude_code,aws/claude-opus-4-5,16,2026-01-28T14:58:38.910732+00:00,2026-01-28T14:59:57.658662+00:00,78.74793,15,15,7,8,0.3125,0.21875,4.571428571428571,2.5487949406953985,1,0,0,0,0,440245,2839
0020.parquet,33,ab2f8ca80599_bf89a90e,tau2_airline,claude_code,aws/claude-opus-4-5,5,2026-01-28T14:59:39.693862+00:00,2026-01-28T15:00:05.620197+00:00,25.926335,4,4,2,3,0.6,0.44,2.272727272727273,1.3709505944546687,1,0,0,1,1,98400,806
0020.parquet,34,ab2f8ca80599_c46f69cd,tau2_airline,claude_code,aws/claude-opus-4-5,17,2026-01-28T14:59:42.081553+00:00,2026-01-28T15:01:19.944097+00:00,97.862544,16,16,7,8,0.35294117647058826,0.2110726643598616,4.737704918032787,2.586887840995814,1,0,0,0,0,461786,2402
0020.parquet,35,ab2f8ca80599_cf788c67,tau2_airline,claude_code,aws/claude-opus-4-5,14,2026-01-28T14:58:54.873944+00:00,2026-01-28T15:00:23.316578+00:00,88.442634,14,14,6,6,0.42857142857142855,0.26530612244897955,3.7692307692307696,2.217021885879718,1,0,0,0,0,372739,2528
0020.parquet,36,ab2f8ca80599_d3e2b730,tau2_airline,claude_code,aws/claude-opus-4-5,9,2026-01-28T14:59:19.478475+00:00,2026-01-28T15:00:15.121879+00:00,55.643404,9,9,3,3,0.5555555555555556,0.4320987654320988,2.314285714285714,1.3516441151533924,1,0,0,0,0,228762,1503
0020.parquet,37,ab2f8ca80599_ddbe1fe0,tau2_airline,claude_code,aws/claude-opus-4-5,15,2026-01-28T14:58:50.463214+00:00,2026-01-28T15:01:08.841409+00:00,138.378195,15,15,5,5,0.6,0.41333333333333333,2.4193548387096775,1.6879430945989,1,0,0,0,0,404231,3503
0020.parquet,38,ab2f8ca80599_e0f0c220,tau2_airline,claude_code,aws/claude-opus-4-5,5,2026-01-28T14:59:39.693862+00:00,2026-01-28T15:00:05.620197+00:00,25.926335,4,4,2,3,0.6,0.44,2.272727272727273,1.3709505944546687,1,0,0,1,1,98400,806
0020.parquet,39,ab2f8ca80599_e217deba,tau2_airline,claude_code,aws/claude-opus-4-5,15,2026-01-28T14:58:49.610066+00:00,2026-01-28T15:00:00.561225+00:00,70.951159,14,14,4,5,0.4666666666666667,0.3155555555555556,3.169014084507042,1.93012496531497,1,0,0,0,0,405179,2128
0020.parquet,40,ab2f8ca80599_e4dd1071,tau2_airline,claude_code,aws/claude-opus-4-5,19,2026-01-28T14:58:46.293538+00:00,2026-01-28T15:00:32.542219+00:00,106.248681,18,18,6,7,0.3684210526315789,0.25761772853185594,3.881720430107527,2.292071752457787,1,0,0,0,0,527664,3020
0020.parquet,41,ab2f8ca80599_e56287b1,tau2_airline,claude_code,aws/claude-opus-4-5,7,2026-01-28T14:58:21.580563+00:00,2026-01-28T14:59:00.511210+00:00,38.930647,6,6,2,3,0.7142857142857143,0.5510204081632654,1.8148148148148147,1.1488348542809166,1,0,0,0,0,175892,1369
0020.parquet,42,ab2f8ca80599_ea8efaf2,tau2_airline,claude_code,aws/claude-opus-4-5,17,2026-01-28T14:59:02.767696+00:00,2026-01-28T15:00:37.566901+00:00,94.799205,16,16,5,6,0.5294117647058824,0.3494809688581315,2.8613861386138613,1.9386790169573505,1,0,0,0,0,460156,1994
0020.parquet,43,ab2f8ca80599_f28dbece,tau2_airline,claude_code,aws/claude-opus-4-5,11,2026-01-28T14:59:53.878471+00:00,2026-01-28T15:01:34.273212+00:00,100.394741,11,11,4,4,0.6363636363636364,0.45454545454545453,2.2,1.4911148500551856,1,0,0,0,0,282584,1992
0020.parquet,44,ab2f8ca80599_f39ae351,tau2_airline,claude_code,aws/claude-opus-4-5,17,2026-01-28T14:58:33.671148+00:00,2026-01-28T15:00:34.524375+00:00,120.853227,16,16,7,8,0.35294117647058826,0.19031141868512114,5.254545454545454,2.7045348998193433,1,0,0,0,0,496200,4126
0020.parquet,45,ab2f8ca80599_f3f69ef4,tau2_airline,claude_code,aws/claude-opus-4-5,5,2026-01-28T14:58:59.589300+00:00,2026-01-28T14:59:23.837152+00:00,24.247852,5,5,2,2,0.8,0.6800000000000002,1.4705882352941173,0.7219280948873623,1,0,0,0,0,124107,1066
0020.parquet,10,d3d3e0d1a8f8_20b42b16,tau2_airline,claude_code,openai/Azure/gpt-4.1|Azure/gpt-4.1,8,2026-04-20T13:36:15.615277+00:00,2026-04-20T13:40:25.038187+00:00,249.42291,0,0,0,1,1.0,1.0,1.0,-0.0,1,0,0,0,0,6536,237
0021.parquet,38,266b7f5a8aa9_0ff1eac5,tau2_airline,openai_solo,openai/Azure/gpt-4.1|Azure/gpt-4.1,2,2026-04-20T13:41:19.853115+00:00,2026-04-20T13:42:11.535319+00:00,51.682204,0,0,0,1,1.0,1.0,1.0,-0.0,1,0,0,0,0,915,59
0021.parquet,39,266b7f5a8aa9_2832afcb,tau2_airline,openai_solo,openai/Azure/gpt-4.1,9,2026-04-15T11:09:25.910366+00:00,2026-04-15T11:09:34.916605+00:00,9.006239,0,0,0,1,1.0,1.0,1.0,-0.0,1,0,0,0,0,10597,366
0021.parquet,40,266b7f5a8aa9_3f28304c,tau2_airline,openai_solo,openai/Azure/gpt-4.1|Azure/gpt-4.1,5,2026-04-19T10:52:34.505958+00:00,2026-04-19T10:54:34.722484+00:00,120.216526,0,0,0,1,1.0,1.0,1.0,-0.0,1,0,0,0,0,3834,228
0021.parquet,41,266b7f5a8aa9_4868c229,tau2_airline,openai_solo,openai/Azure/gpt-4.1,7,2026-04-15T11:09:43.066205+00:00,2026-04-15T11:09:56.819599+00:00,13.753394,0,0,0,1,1.0,1.0,1.0,-0.0,1,0,0,0,0,6227,225
0021.parquet,42,266b7f5a8aa9_4a195c17,tau2_airline,openai_solo,openai/Azure/gpt-4.1,2,2026-04-15T11:10:52.343559+00:00,2026-04-15T11:11:14.427820+00:00,22.084261,0,0,0,1,1.0,1.0,1.0,-0.0,1,0,0,0,0,831,69
0021.parquet,43,266b7f5a8aa9_4c724a0f,tau2_airline,openai_solo,openai/Azure/gpt-4.1,4,2026-04-15T11:11:27.704713+00:00,2026-04-15T11:11:39.837149+00:00,12.132436,0,0,0,1,1.0,1.0,1.0,-0.0,1,0,0,0,0,2193,78
0021.parquet,44,266b7f5a8aa9_5b03ff2c,tau2_airline,openai_solo,openai/Azure/gpt-4.1,2,2026-04-15T11:09:56.472747+00:00,2026-04-15T11:10:14.072616+00:00,17.599869,0,0,0,1,1.0,1.0,1.0,-0.0,1,0,0,0,0,1012,124
0021.parquet,45,266b7f5a8aa9_9b50dfb4,tau2_airline,openai_solo,openai/Azure/gpt-4.1|Azure/gpt-4.1,12,2026-04-19T12:37:01.483836+00:00,2026-04-19T12:38:16.981365+00:00,75.497529,0,0,0,1,1.0,1.0,1.0,-0.0,1,0,0,0,0,26009,802
0022.parquet,0,266b7f5a8aa9_c3eec16c,tau2_airline,openai_solo,openai/Azure/gpt-4.1,2,2026-04-15T11:10:18.021925+00:00,2026-04-15T11:11:11.705051+00:00,53.683126,0,0,0,1,1.0,1.0,1.0,-0.0,1,0,0,0,0,897,46
0022.parquet,1,266b7f5a8aa9_c43e2672,tau2_airline,openai_solo,openai/Azure/gpt-4.1,9,2026-04-09T22:01:57.479939+00:00,2026-04-09T22:02:09.556746+00:00,12.076807,0,0,0,1,1.0,1.0,1.0,-0.0,1,0,0,0,0,9708,315
0022.parquet,2,266b7f5a8aa9_c6d66a2f,tau2_airline,openai_solo,openai/Azure/gpt-4.1,6,2026-04-15T11:10:13.189330+00:00,2026-04-15T11:11:15.140950+00:00,61.95162,0,0,0,1,1.0,1.0,1.0,-0.0,1,0,0,0,0,4264,209
0022.parquet,3,266b7f5a8aa9_d3b0b499,tau2_airline,openai_solo,openai/Azure/gpt-4.1,5,2026-04-09T22:02:39.621416+00:00,2026-04-09T22:02:47.721290+00:00,8.099874,0,0,0,1,1.0,1.0,1.0,-0.0,1,0,0,0,0,4124,298
0022.parquet,4,266b7f5a8aa9_ddeb2b60,tau2_airline,openai_solo,openai/Azure/gpt-4.1,2,2026-04-15T11:09:34.931627+00:00,2026-04-15T11:09:41.579263+00:00,6.647636,0,0,0,1,1.0,1.0,1.0,-0.0,1,0,0,0,0,1015,74
0022.parquet,5,266b7f5a8aa9_e06392e0,tau2_airline,openai_solo,openai/Azure/gpt-4.1,4,2026-04-15T11:09:26.576379+00:00,2026-04-15T11:09:34.059039+00:00,7.48266,0,0,0,1,1.0,1.0,1.0,-0.0,1,0,0,0,0,2416,134
