target_active_sessions,window_ms,grouping,threshold_k,repetitions,eligible_share_mean,eligible_share_std,eligible_share_min,eligible_share_max,cohort_size_event_mean,cohort_size_event_p50,cohort_size_event_p90,cohort_size_event_p99,cohort_size_max,wait_ms_mean,wait_ms_p95,mean_active_sessions,active_population_ratio,event_rate_hz
100000,10,event_class,64,5,0.1357283805783554,0.008503300530263278,0.12722690496131298,0.14588301711181806,54.81660652023701,55.0,65.0,73.6,87,5.0030083719457314,9.501801419226828,100031.69538052795,1.0003169538052794,10874.673333333334
100000,10,event_class,128,5,0.0,0.0,0.0,0.0,54.81660652023701,55.0,65.0,73.6,87,5.0030083719457314,9.501801419226828,100031.69538052795,1.0003169538052794,10874.673333333334
100000,10,event_class,256,5,0.0,0.0,0.0,0.0,54.81660652023701,55.0,65.0,73.6,87,5.0030083719457314,9.501801419226828,100031.69538052795,1.0003169538052794,10874.673333333334
100000,10,event_class,512,5,0.0,0.0,0.0,0.0,54.81660652023701,55.0,65.0,73.6,87,5.0030083719457314,9.501801419226828,100031.69538052795,1.0003169538052794,10874.673333333334
100000,10,event_class,1024,5,0.0,0.0,0.0,0.0,54.81660652023701,55.0,65.0,73.6,87,5.0030083719457314,9.501801419226828,100031.69538052795,1.0003169538052794,10874.673333333334
100000,10,event_class,4096,5,0.0,0.0,0.0,0.0,54.81660652023701,55.0,65.0,73.6,87,5.0030083719457314,9.501801419226828,100031.69538052795,1.0003169538052794,10874.673333333334
100000,10,pooled,32,5,1.0,0.0,1.0,1.0,109.74292540543756,109.6,123.2,134.4,151,5.0030083719457314,9.501801419226828,100031.69538052795,1.0003169538052794,10874.673333333334
100000,10,pooled,64,5,1.0,0.0,1.0,1.0,109.74292540543756,109.6,123.2,134.4,151,5.0030083719457314,9.501801419226828,100031.69538052795,1.0003169538052794,10874.673333333334
100000,10,pooled,128,5,0.04539165590033581,0.0037302959344089636,0.04169993953185656,0.05077090914639263,109.74292540543756,109.6,123.2,134.4,151,5.0030083719457314,9.501801419226828,100031.69538052795,1.0003169538052794,10874.673333333334
100000,10,pooled,256,5,0.0,0.0,0.0,0.0,109.74292540543756,109.6,123.2,134.4,151,5.0030083719457314,9.501801419226828,100031.69538052795,1.0003169538052794,10874.673333333334
100000,10,pooled,512,5,0.0,0.0,0.0,0.0,109.74292540543756,109.6,123.2,134.4,151,5.0030083719457314,9.501801419226828,100031.69538052795,1.0003169538052794,10874.673333333334
100000,10,pooled,1024,5,0.0,0.0,0.0,0.0,109.74292540543756,109.6,123.2,134.4,151,5.0030083719457314,9.501801419226828,100031.69538052795,1.0003169538052794,10874.673333333334
100000,10,pooled,4096,5,0.0,0.0,0.0,0.0,109.74292540543756,109.6,123.2,134.4,151,5.0030083719457314,9.501801419226828,100031.69538052795,1.0003169538052794,10874.673333333334
100000,10,route_key,32,5,0.48042022872228607,0.0018375948534989505,0.4773995352160297,0.4822116529770183,30.07441725873172,26.0,59.0,68.0,87,5.0030083719457314,9.501801419226828,100031.69538052795,1.0003169538052794,10874.673333333334
100000,10,route_key,64,5,0.03576045462730074,0.0025079478998385136,0.03291282586251729,0.0388529054997368,30.07441725873172,26.0,59.0,68.0,87,5.0030083719457314,9.501801419226828,100031.69538052795,1.0003169538052794,10874.673333333334
100000,10,route_key,128,5,0.0,0.0,0.0,0.0,30.07441725873172,26.0,59.0,68.0,87,5.0030083719457314,9.501801419226828,100031.69538052795,1.0003169538052794,10874.673333333334
100000,10,route_key,256,5,0.0,0.0,0.0,0.0,30.07441725873172,26.0,59.0,68.0,87,5.0030083719457314,9.501801419226828,100031.69538052795,1.0003169538052794,10874.673333333334
100000,10,route_key,512,5,0.0,0.0,0.0,0.0,30.07441725873172,26.0,59.0,68.0,87,5.0030083719457314,9.501801419226828,100031.69538052795,1.0003169538052794,10874.673333333334
100000,10,route_key,1024,5,0.0,0.0,0.0,0.0,30.07441725873172,26.0,59.0,68.0,87,5.0030083719457314,9.501801419226828,100031.69538052795,1.0003169538052794,10874.673333333334
100000,10,route_key,4096,5,0.0,0.0,0.0,0.0,30.07441725873172,26.0,59.0,68.0,87,5.0030083719457314,9.501801419226828,100031.69538052795,1.0003169538052794,10874.673333333334
100000,25,event_class,32,5,0.9942065790562815,0.00011133392808630578,0.9940738028211994,0.9943393816863073,135.54723716179348,136.0,152.8,166.4,190,12.510313517958123,23.752775517536726,100031.69538052795,1.0003169538052794,10874.673333333334
100000,25,event_class,64,5,0.9942065790562815,0.00011133392808630578,0.9940738028211994,0.9943393816863073,135.54723716179348,136.0,152.8,166.4,190,12.510313517958123,23.752775517536726,100031.69538052795,1.0003169538052794,10874.673333333334
100000,25,event_class,128,5,0.7483408458901858,0.009618536958079201,0.7360480914069075,0.7628086878905088,135.54723716179348,136.0,152.8,166.4,190,12.510313517958123,23.752775517536726,100031.69538052795,1.0003169538052794,10874.673333333334
100000,25,event_class,256,5,0.0,0.0,0.0,0.0,135.54723716179348,136.0,152.8,166.4,190,12.510313517958123,23.752775517536726,100031.69538052795,1.0003169538052794,10874.673333333334
100000,25,event_class,512,5,0.0,0.0,0.0,0.0,135.54723716179348,136.0,152.8,166.4,190,12.510313517958123,23.752775517536726,100031.69538052795,1.0003169538052794,10874.673333333334
