hardware,agent_count,state_width,action_count,mode,threads,repetitions,median_wall_ms,mean_wall_ms,std_wall_ms,p10_wall_ms,p90_wall_ms,median_ns_per_agent_step,correctness_valid,cv
NVIDIA GeForce GTX 1660 Ti,16384,8,1,eager-resident,,10,7.187981,7.1531179,0.1301442573646217,6.996307900000001,7.3053227,6.854992866516113,True,0.01819406015447078
NVIDIA GeForce GTX 1660 Ti,16384,8,1,graph-resident,,10,4.312866,4.2578997,0.07951748270251274,4.1562349,4.322629999999999,4.113069534301758,True,0.018675283192441744
NVIDIA GeForce GTX 1660 Ti,16384,8,8,cpu,1.0,10,33.037077499999995,32.9960875,0.41208894610191654,32.553050199999994,33.4764853,31.506612300872803,True,0.012489024527587295
NVIDIA GeForce GTX 1660 Ti,16384,8,8,cpu,8.0,10,11.966756,11.989454,1.0607685113921466,10.810842399999999,13.000978,11.41238784790039,True,0.08847513084350184
NVIDIA GeForce GTX 1660 Ti,16384,8,8,eager-host-visible,,10,9.687537500000001,9.7214756,0.07267396163719402,9.6685614,9.831729399999999,9.238755702972412,True,0.007475610146796441
NVIDIA GeForce GTX 1660 Ti,16384,8,8,eager-resident,,10,7.206283,7.2284396,0.07771514836489606,7.1701331,7.2657879,6.8724470138549805,True,0.01075130355448997
NVIDIA GeForce GTX 1660 Ti,16384,8,8,graph-resident,,10,4.1837025,4.1869284,0.010319934584202701,4.1811149,4.1949852,3.989889621734619,True,0.002464798438923078
NVIDIA GeForce GTX 1660 Ti,16384,32,1,cpu,1.0,10,29.565658499999998,29.6282129,0.1721385208445345,29.5374167,29.7327249,28.196009159088135,True,0.005809952879221226
NVIDIA GeForce GTX 1660 Ti,16384,32,1,cpu,8.0,10,10.3102575,13.424758700000002,7.027088526060499,10.209122,20.716901099999998,9.832627773284912,True,0.5234424456404194
NVIDIA GeForce GTX 1660 Ti,16384,32,1,eager-host-visible,,10,12.439213,12.401359000000001,0.2307072235853149,12.309224799999999,12.5949428,11.862957954406738,True,0.018603382386181616
NVIDIA GeForce GTX 1660 Ti,16384,32,1,eager-resident,,10,8.9887595,9.022651100000001,0.06819795268424375,8.967126500000001,9.1286826,8.572349071502686,True,0.007558527081274787
NVIDIA GeForce GTX 1660 Ti,16384,32,1,graph-resident,,10,8.9194715,8.921746299999999,0.006911249702880552,8.915977,8.9284634,8.50627088546753,True,0.0007746521219596384
NVIDIA GeForce GTX 1660 Ti,16384,32,8,cpu,1.0,10,42.096537,42.104613799999996,0.23466099717905337,41.8268197,42.4168149,40.14638614654541,True,0.0055732846355914896
NVIDIA GeForce GTX 1660 Ti,16384,32,8,cpu,8.0,10,11.9203305,12.252830900000001,0.6157092670153216,11.6778678,12.9902119,11.368113040924072,True,0.0502503684283541
NVIDIA GeForce GTX 1660 Ti,16384,32,8,eager-host-visible,,10,11.378646499999999,11.4097885,0.10406963311515108,11.3043192,11.509549999999999,10.85152292251587,True,0.00912108345524118
NVIDIA GeForce GTX 1660 Ti,16384,32,8,eager-resident,,10,8.9901545,9.0069448,0.043351425407297195,8.9623685,9.0670184,8.573679447174072,True,0.004813111034864696
NVIDIA GeForce GTX 1660 Ti,16384,32,8,graph-resident,,10,8.962436,8.967502,0.013529585597662278,8.9577633,8.980547,8.547245025634766,True,0.0015087351636679065
